"externalId";"name";"email";"secondEmail";"organizationType";"active"
111;"CRC Abrantes";"civil.abrantes@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
112;"CRC Angra do Heroismo";"civil.aheroismo@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
113;"CRC Ponta Delgada";"civil.pdelgada@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
114;"Conservatória do Registo Civil - Predial - Comercial e Automóvel";"registos.horta@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
115;"CRC Almada";"civil.almada@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
116;"CRC Amadora";"civil.amadora@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
117;"CRC Aveiro";"civil.aveiro@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
118;"CRC Barreiro";"civil.barreiro@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
119;"CRC Beja";"civil.beja@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
110;"CRC Braga";"civil.braga@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
