what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1253579102920
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1253579102920
os,sysinfo,,,"linux",1253579102922
arch,sysinfo,,,"x86",1253579102922
ws,sysinfo,,,"gtk",1253579102922
locale,sysinfo,,,"pt_PT",1253579102922
processors,sysinfo,,,"2",1253579102922
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253579102922
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1253579102922
java.specification.name,sysinfo,,,"Java Platform API Specification",1253579102922
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253579102922
java.specification.version,sysinfo,,,"1.6",1253579102923
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253579102923
java.version,sysinfo,,,"1.6.0_14",1253579102923
java.vm.info,sysinfo,,,"mixed mode",1253579102923
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253579102923
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253579102923
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253579102923
java.vm.specification.version,sysinfo,,,"1.0",1253579102923
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253579102923
java.vm.version,sysinfo,,,"14.0-b16",1253579102923
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253579157751
started,bundle,org.eclipse.team.svn.core,0.7.8.I20090506-1500,"org.eclipse.team.svn.core",1253579167355
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1253579167436
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20090506-1500,"org.eclipse.team.svn.ui",1253579167516
